sigx	sigy	sigz	sigxy	sigxz	sigyz	plstrain	Yieldstrength_true	 Yieldstrain_true
E=3626.990 nu=0.355 G=2812.240 
1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.128838e-02	2.446130e+01	1.883042e-02
0.988327	0.152347	0.000000	0.000000	-0.000000	0.000000	1.128838e-02	2.571276e+01	1.853855e-02
0.948748	0.316034	0.000000	0.000000	0.000000	0.000000	1.128838e-02	2.667204e+01	1.813703e-02
0.872494	0.488625	0.000000	0.000000	0.000000	0.000000	1.128838e-02	2.723057e+01	1.773638e-02
0.759519	0.650486	0.000000	0.000000	0.000000	0.000000	1.128838e-02	2.798890e+01	1.762042e-02
0.611597	0.791170	0.000000	0.000000	-0.000000	0.000000	1.128838e-02	2.773948e+01	1.760736e-02
0.446362	0.894852	0.000000	0.000000	0.000000	0.000000	1.128838e-02	2.709142e+01	1.781900e-02
0.274600	0.961558	0.000000	0.000000	-0.000000	0.000000	1.128838e-02	2.639518e+01	1.822377e-02
0.112314	0.993673	0.000000	0.000000	0.000000	0.000000	1.128838e-02	2.544624e+01	1.863191e-02
-0.035895	0.999356	0.000000	-0.000000	0.000000	0.000000	1.128838e-02	2.424060e+01	1.891685e-02
-0.177063	0.984199	0.000000	-0.000000	0.000000	0.000000	1.128838e-02	2.326691e+01	1.915432e-02
-0.315646	0.948877	0.000000	-0.000000	0.000000	0.000000	1.128838e-02	2.269252e+01	1.937944e-02
-0.457524	0.889197	0.000000	-0.000000	0.000000	0.000000	1.128838e-02	2.175982e+01	1.931036e-02
-0.599905	0.800072	0.000000	-0.000000	0.000000	0.000000	1.128838e-02	2.114715e+01	1.918713e-02
-0.737058	0.675829	0.000000	-0.000000	0.000000	0.000000	1.128838e-02	2.123376e+01	1.916101e-02
-0.857229	0.514936	0.000000	-0.000000	-0.000000	0.000000	1.128838e-02	2.188960e+01	1.918101e-02
-0.947680	0.319223	0.000000	-0.000000	0.000000	0.000000	1.128838e-02	2.236920e+01	1.897534e-02
-0.994246	0.107122	0.000000	-0.000000	0.000000	0.000000	1.128838e-02	2.305742e+01	1.869664e-02
-0.994640	-0.103403	0.000000	0.000000	0.000000	0.000000	1.128838e-02	2.408383e+01	1.840605e-02
-0.956289	-0.292423	0.000000	0.000000	0.000000	0.000000	1.128838e-02	2.541295e+01	1.812920e-02
-0.888373	-0.459122	0.000000	0.000000	-0.000000	0.000000	1.128838e-02	2.647800e+01	1.780076e-02
-0.800534	-0.599287	0.000000	0.000000	0.000000	0.000000	1.128838e-02	2.720087e+01	1.754844e-02
-0.692903	-0.721031	0.000000	0.000000	0.000000	0.000000	1.128838e-02	2.777114e+01	1.754973e-02
-0.567052	-0.823682	0.000000	0.000000	0.000000	0.000000	1.128838e-02	2.700394e+01	1.758486e-02
-0.419669	-0.907677	0.000000	0.000000	0.000000	0.000000	1.128838e-02	2.633182e+01	1.790393e-02
-0.247315	-0.968935	0.000000	0.000000	0.000000	0.000000	1.128838e-02	2.514484e+01	1.821933e-02
-0.052393	-0.998627	0.000000	0.000000	0.000000	0.000000	1.128838e-02	2.378162e+01	1.847418e-02
0.161016	-0.986952	0.000000	-0.000000	0.000000	0.000000	1.128838e-02	2.278401e+01	1.874544e-02
0.371069	-0.928605	0.000000	-0.000000	-0.000000	0.000000	1.128838e-02	2.229491e+01	1.905686e-02
0.557531	-0.830156	0.000000	-0.000000	0.000000	0.000000	1.128838e-02	2.173139e+01	1.919388e-02
0.710382	-0.703816	0.000000	-0.000000	-0.000000	0.000000	1.128838e-02	2.114619e+01	1.915818e-02
0.825445	-0.564482	0.000000	-0.000000	0.000000	0.000000	1.128838e-02	2.123419e+01	1.920892e-02
0.906564	-0.422068	0.000000	-0.000000	0.000000	0.000000	1.128838e-02	2.200673e+01	1.934918e-02
0.959430	-0.281945	0.000000	-0.000000	-0.000000	0.000000	1.128838e-02	2.287595e+01	1.935176e-02
0.989903	-0.141749	0.000000	-0.000000	-0.000000	0.000000	1.128838e-02	2.346353e+01	1.909276e-02
1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.128838e-02	2.446130e+01	1.883042e-02
